fecha,sitio,tratamiento,above_par,below_par,lai,latitud,longitud
1/18/2023,Rio Claro,T3,1379.84,768.32,1.83,34.700514,70.865020
1/18/2023,Rio Claro,T1,1570.14,848.64,1.87,34.700697,70.864920
1/18/2023,Rio Claro,T4,1437.81,842.68,1.55,34.700877,70.864698
1/18/2023,Rio Claro,T2,1012.19,703.19,1.31,34.701000,70.864000
1/18/2023,Rio Claro,T0,962.11,647.14,1.56,34.701065,70.864490
1/23/2023,La Esperanza,T4,1351.68,452.70,2.85,34.328345,71.274076
1/23/2023,La Esperanza,T1,1449.48,706.80,2.27,34.328256,71.273967
1/23/2023,La Esperanza,T2,1514.84,808.20,2.01,34.327988,71.273745
1/23/2023,La Esperanza,T3,1156.50,737.45,1.94,34.327899,71.273745
1/23/2023,La Esperanza,T0,1356.06,786.38,2.30,34.327719,71.273519
2/7/2023,La Esperanza,T4,1520.12,337.92,3.84,34.328345,71.274076
2/7/2023,La Esperanza,T1,1470.08,410.80,3.34,34.328256,71.273967
2/7/2023,La Esperanza,T2,1413.65,661.83,2.21,34.327988,71.273745
2/7/2023,La Esperanza,T3,1609.95,478.67,3.29,34.327899,71.273745
2/7/2023,La Esperanza,T0,1580.00,517.28,2.98,34.327719,71.273519
2/2/2023,Rio Claro,T3,2130.02,1499.44,0.63,34.700514,70.865020
2/2/2023,Rio Claro,T1,2069.87,1278.77,0.57,34.700697,70.864920
2/2/2023,Rio Claro,T4,2166.40,1316.48,0.57,34.700877,70.864698
2/2/2023,Rio Claro,T2,2140.90,1241.76,0.53,34.701000,70.864000
2/2/2023,Rio Claro,T0,2177.72,1037.80,0.44,34.701065,70.864490
2/17/2023,Rio Claro,T3,1739.96,667.06,2.50,34.700514,70.865020
2/17/2023,Rio Claro,T1,2041.44,535.04,3.45,34.700697,70.864920
2/17/2023,Rio Claro,T4,2071.70,677.12,2.86,34.700877,70.864698
2/17/2023,Rio Claro,T2,2029.26,685.00,2.87,34.701000,70.864000
2/17/2023,Rio Claro,T0,2023.13,553.08,3.60,34.701065,70.864490
2/22/2023,La Esperanza,T4,"1506,8","447,86","3,79",34.328345,71.274076
2/22/2023,La Esperanza,T1,"1459,72","647,4","2,96",34.328256,71.273967
2/22/2023,La Esperanza,T2,1823,"837,84","2,71",34.327988,71.273745
2/22/2023,La Esperanza,T3,"1864,62","680,7","3,48",34.327899,71.273745
2/22/2023,La Esperanza,T0,"1776,52","646,22","3,33",34.327719,71.273519
2/27/2023,Rio Claro,T3,"1688,1","1797,78","0,54",34.700514,70.865020
2/27/2023,Rio Claro,T1,"1254,2","1241,68","0,84",34.700697,70.864920
2/27/2023,Rio Claro,T4,"1136,77","1474,8","0,6",34.700877,70.864698
2/27/2023,Rio Claro,T2,"1059,02","1459,04","0,56",34.701000,70.864000
2/27/2023,Rio Claro,T0,"1106,05","1263,92","0,89",34.701065,70.864490
