sitio,codigo,sensor,unidad
rio_claro,T3H72A5Z1,8683,1
rio_claro,T3H72A5Z2,8786,1
rio_claro,T3H72A6Z1,8901,2
rio_claro,T3H72A6Z2,8902,2
rio_claro,T3H72A7Z1,8067,3
rio_claro,T3H72A7Z2,8225,3
rio_claro,T1H67A5Z1,8842,1
rio_claro,T1H67A5Z2,8880,1
rio_claro,T1H67A6Z1,8479,2
rio_claro,T1H67A6Z2,8882,2
rio_claro,T1H66A5Z1,8664,3
rio_claro,T1H66A5Z2,8694,3
rio_claro,T4H62A8Z1,8572,1
rio_claro,T4H62A8Z2,8887,1
rio_claro,T4H61A4Z1,8063,2
rio_claro,T4H61A4Z2,8574,2
rio_claro,T4H61A6Z1,8066,3
rio_claro,T4H61A6Z2,8886,3
rio_claro,T2H56A6Z1,8879,1
rio_claro,T2H56A6Z2,8645,1
rio_claro,T2H55A6Z1,8646,2
rio_claro,T2H55A6Z2,8456,2
rio_claro,T2H55A8Z1,8568,3
rio_claro,T2H55A8Z2,8883,3
la_esperanza,T4H79A4Z1,8785,1
la_esperanza,T4H79A4Z2,8783,1
la_esperanza,T4H79A7Z1,8784,2
la_esperanza,T4H79A7Z2,8480,2
la_esperanza,T4H81A4Z1,8228,3
la_esperanza,T4H81A4Z2,8569,3
la_esperanza,T1H85A4Z1,8878,1
la_esperanza,T1H85A4Z2,8180,1
la_esperanza,T1H85A5Z1,8483,2
la_esperanza,T1H85A5Z2,8573,2
la_esperanza,T1H86A7Z1,8685,3
la_esperanza,T1H86A7Z2,8658,3
la_esperanza,T2H93A4Z1,8482,1
la_esperanza,T2H93A4Z2,8905,1
la_esperanza,T2H94A4Z1,8782,2
la_esperanza,T2H94A4Z2,8571,2
la_esperanza,T2H94A6Z1,8881,3
la_esperanza,T2H94A6Z2,8787,3
la_esperanza,T3H98A8Z1,8174,1
la_esperanza,T3H98A8Z2,8719,1
la_esperanza,T3H98A9Z1,8885,2
la_esperanza,T3H98A9Z2,8527,2
la_esperanza,T3H99A8Z1,8064,3
la_esperanza,T3H99A8Z2,8679,3
