sitio;codigo;sensor;unidad
la_esperanza;T4H79A4;2633;1
la_esperanza;T4H79A7;2664;2
la_esperanza;T4H81A4;2649;3
la_esperanza;T1H86A7;2657;1
la_esperanza;T1H86A8;2653;2
la_esperanza;T1H86A11;2655;3
la_esperanza;T2H93A5;2661;1
la_esperanza;T2H94A4;;2
la_esperanza;T2H94A6;2645;3
la_esperanza;T3H98A8;2644;1
la_esperanza;T3H98A9;2656;2
la_esperanza;T3H99A8;2648;3
rio_claro;T3H72A5;2658;1
rio_claro;T3H72A6;2662;2
rio_claro;T3H72A7;2666;3
rio_claro;T1H67A5;2652;1
rio_claro;T1H67A6;2659;2
rio_claro;T1H66A5;2650;3
rio_claro;T4H62A6;2654;1
rio_claro;T4H62A8;2667;2
rio_claro;T4H61A4;2668;3
rio_claro;T2H56A5;2665;1
rio_claro;T2H56A6;2647;2
rio_claro;T2H55A4;2663;3
