sitio,tratamiento,fecha_hora,lamina_mm
rio_claro,T0,2022-10-20 09:30:00,0.18
rio_claro,T0,2022-10-21 10:30:00,2.63
rio_claro,T0,2022-10-22 13:50:00,2.57
rio_claro,T0,2022-10-24 10:30:00,2.55
rio_claro,T0,2022-10-25 10:50:00,1.31
rio_claro,T0,2022-10-26 14:40:00,2.38
rio_claro,T0,2022-10-27 12:20:00,2.44
rio_claro,T0,2022-10-28 12:00:00,2.56
rio_claro,T0,2022-10-29 09:40:00,1.32
rio_claro,T0,2022-10-30 14:00:00,2.63
rio_claro,T0,2022-10-31 15:20:00,2.6
rio_claro,T0,2022-11-01 15:10:00,2.58
rio_claro,T0,2022-11-02 12:00:00,2.57
rio_claro,T0,2022-11-03 10:50:00,2.59
rio_claro,T0,2022-11-04 17:50:00,2.52
rio_claro,T0,2022-11-06 18:50:00,2.56
rio_claro,T0,2022-11-07 18:20:00,2.57
rio_claro,T0,2022-11-08 10:10:00,5.1
rio_claro,T0,2022-11-10 19:40:00,2.56
rio_claro,T0,2022-11-11 19:40:00,2.56
rio_claro,T0,2022-11-12 18:40:00,2.55
rio_claro,T0,2022-11-13 18:40:00,2.56
rio_claro,T0,2022-11-15 09:40:00,5.12
rio_claro,T0,2022-11-16 00:00:00,2.43
rio_claro,T0,2022-11-17 00:00:00,12.48
rio_claro,T0,2022-11-18 20:30:00,6.56
rio_claro,T0,2022-11-19 19:00:00,4.87
rio_claro,T0,2022-11-20 18:30:00,0
rio_claro,T0,2022-11-21 18:30:00,7.16
rio_claro,T0,2022-11-23 01:30:00,0
rio_claro,T0,2022-11-24 04:30:00,0.01
rio_claro,T0,2022-11-25 09:30:00,2.53
rio_claro,T0,2022-11-26 08:10:00,6.25
rio_claro,T0,2022-11-27 08:30:00,0
rio_claro,T0,2022-11-28 09:10:00,7.6
rio_claro,T0,2022-11-29 11:30:00,5.59
rio_claro,T0,2022-11-30 13:10:00,6.29
rio_claro,T0,2022-12-01 08:10:00,1.28
rio_claro,T0,2022-12-02 11:20:00,7.43
rio_claro,T0,2022-12-03 10:50:00,7.49
rio_claro,T0,2022-12-04 08:10:00,7.46
rio_claro,T0,2022-12-05 13:00:00,4.96
rio_claro,T0,2022-12-06 15:20:00,4.03
rio_claro,T0,2022-12-07 00:00:00,5.23
rio_claro,T0,2022-12-08 09:00:00,5.07
rio_claro,T0,2022-12-09 14:40:00,5.06
rio_claro,T0,2022-12-10 14:10:00,5.07
rio_claro,T0,2022-12-11 08:30:00,5.07
rio_claro,T0,2022-12-12 13:30:00,5.06
rio_claro,T0,2022-12-13 06:40:00,5.1
rio_claro,T0,2022-12-14 06:30:00,5.08
rio_claro,T0,2022-12-15 13:10:00,4.41
rio_claro,T0,2022-12-16 00:00:00,4.86
rio_claro,T0,2022-12-17 10:50:00,5.03
rio_claro,T0,2022-12-18 11:20:00,1.7
rio_claro,T0,2022-12-19 14:00:00,2.99
rio_claro,T0,2022-12-20 15:00:00,3.36
rio_claro,T0,2022-12-21 11:00:00,2.39
rio_claro,T0,2022-12-22 13:30:00,6
rio_claro,T0,2022-12-23 17:10:00,2.55
rio_claro,T0,2022-12-24 12:10:00,2.54
rio_claro,T0,2022-12-25 01:10:00,4.74
rio_claro,T0,2022-12-26 15:50:00,5.04
rio_claro,T0,2022-12-27 11:10:00,3.84
rio_claro,T0,2022-12-28 13:30:00,6.4
rio_claro,T0,2022-12-29 14:30:00,5.04
rio_claro,T0,2022-12-30 12:50:00,6.96
rio_claro,T0,2022-12-31 18:00:00,5
rio_claro,T0,2023-01-01 10:00:00,7.25
rio_claro,T0,2023-01-02 07:40:00,7.62
rio_claro,T0,2023-01-03 14:00:00,6.25
rio_claro,T0,2023-01-04 16:40:00,4.76
rio_claro,T0,2023-01-05 16:10:00,6.28
rio_claro,T0,2023-01-06 15:00:00,6.38
rio_claro,T0,2023-01-07 16:30:00,6.21
rio_claro,T0,2023-01-09 10:00:00,3.46
rio_claro,T0,2023-01-10 12:50:00,4.68
rio_claro,T0,2023-01-11 14:20:00,2.53
rio_claro,T0,2023-01-12 14:20:00,4.65
rio_claro,T0,2023-01-13 15:30:00,2.97
rio_claro,T0,2023-01-14 09:10:00,0.22
rio_claro,T0,2023-01-15 15:30:00,0
rio_claro,T0,2023-01-16 14:30:00,4.98
rio_claro,T0,2023-01-17 01:30:00,8.75
rio_claro,T0,2023-01-18 14:30:00,6.88
rio_claro,T0,2023-01-19 12:30:00,4.7
rio_claro,T0,2023-01-21 09:20:00,3.26
rio_claro,T0,2023-01-22 10:40:00,3.12
rio_claro,T0,2023-01-23 09:10:00,6.36
rio_claro,T0,2023-01-24 09:10:00,4.15
rio_claro,T0,2023-01-25 09:20:00,3.85
rio_claro,T0,2023-01-26 09:20:00,3.85
rio_claro,T0,2023-01-27 10:30:00,3.87
rio_claro,T0,2023-01-28 11:50:00,3.59
rio_claro,T0,2023-01-29 09:20:00,3.53
rio_claro,T0,2023-01-30 10:50:00,3.81
rio_claro,T0,2023-01-31 11:00:00,3.84
rio_claro,T0,2023-02-02 01:00:00,5.11
rio_claro,T0,2023-02-04 16:30:00,3.78
rio_claro,T0,2023-02-05 00:00:00,6.39
rio_claro,T0,2023-02-06 10:00:00,2.56
rio_claro,T0,2023-02-07 10:30:00,2.57
rio_claro,T0,2023-02-08 09:50:00,2.55
rio_claro,T0,2023-02-09 10:50:00,2.54
rio_claro,T0,2023-02-10 10:20:00,2.16
rio_claro,T0,2023-02-11 09:40:00,2.53
rio_claro,T0,2023-02-12 08:40:00,2.54
rio_claro,T0,2023-02-13 10:20:00,2.58
rio_claro,T0,2023-02-14 16:00:00,2.99
rio_claro,T0,2023-02-15 07:40:00,2.78
rio_claro,T0,2023-02-16 09:30:00,2.59
rio_claro,T0,2023-02-17 09:10:00,2.57
rio_claro,T0,2023-02-18 09:40:00,2.59
rio_claro,T0,2023-02-19 08:40:00,2.19
rio_claro,T0,2023-02-20 09:40:00,2.55
rio_claro,T0,2023-02-21 10:00:00,2.56
rio_claro,T0,2023-02-22 09:30:00,2.57
rio_claro,T0,2023-02-23 09:40:00,2.54
rio_claro,T0,2023-02-24 10:20:00,2.55
rio_claro,T0,2023-02-25 09:30:00,2.58
rio_claro,T0,2023-02-26 08:30:00,2.57
rio_claro,T0,2023-02-27 09:40:00,2.53
rio_claro,T0,2023-02-28 08:40:00,2.52
rio_claro,T0,2023-03-01 07:50:00,2.52
rio_claro,T0,2023-03-02 09:40:00,2.57
rio_claro,T0,2023-03-03 10:00:00,2.54
rio_claro,T0,2023-03-04 09:40:00,2.54
rio_claro,T0,2023-03-06 08:40:00,1.26
rio_claro,T0,2023-03-07 09:20:00,2.53
rio_claro,T0,2023-03-08 10:40:00,2.38
rio_claro,T0,2023-03-09 11:00:00,4.33
rio_claro,T0,2023-03-10 07:40:00,2.54
rio_claro,T0,2023-03-11 07:40:00,2.51
rio_claro,T0,2023-03-12 07:40:00,2.51
rio_claro,T0,2023-03-13 09:40:00,2.7
rio_claro,T0,2023-03-14 10:10:00,2.53
rio_claro,T0,2023-03-15 09:30:00,2.49
rio_claro,T0,2023-03-16 10:00:00,2.71
rio_claro,T0,2023-03-17 09:40:00,1.39
la_esperanza,T0,2022-10-11 00:00:00,14
la_esperanza,T0,2022-10-17 00:00:00,14
la_esperanza,T0,2022-10-24 00:00:00,16
la_esperanza,T0,2022-11-02 00:00:00,16
la_esperanza,T0,2022-11-07 00:00:00,20
la_esperanza,T0,2022-11-14 00:00:00,16
la_esperanza,T0,2022-11-19 00:00:00,16
la_esperanza,T0,2022-11-24 00:00:00,16
la_esperanza,T0,2022-12-02 00:00:00,16
la_esperanza,T0,2022-12-12 00:00:00,16
la_esperanza,T0,2022-12-19 00:00:00,16
la_esperanza,T0,2022-12-23 00:00:00,16
la_esperanza,T0,2023-01-02 00:00:00,16
la_esperanza,T0,2023-01-09 00:00:00,16
la_esperanza,T0,2023-01-14 00:00:00,16
la_esperanza,T0,2023-01-20 00:00:00,16
la_esperanza,T0,2023-01-27 00:00:00,16
la_esperanza,T0,2023-02-02 00:00:00,16
la_esperanza,T0,2023-02-10 00:00:00,16
la_esperanza,T0,2023-02-17 00:00:00,16
la_esperanza,T0,2023-02-24 00:00:00,16
la_esperanza,T0,2023-03-03 00:00:00,16
la_esperanza,T0,2023-03-10 00:00:00,16
la_esperanza,T0,2023-03-17 00:00:00,8
la_esperanza,T0,2023-03-24 00:00:00,8
