sitio,tratamiento,unidad,zim,sensor
la_esperanza,T1,1,Z1,8569
la_esperanza,T1,1,Z2,8225
la_esperanza,T1,2,Z1,8787
la_esperanza,T1,2,Z2,8887
la_esperanza,T1,3,Z1,8646
la_esperanza,T1,3,Z2,8785
la_esperanza,T2,1,Z1,8064
la_esperanza,T2,1,Z2,8880
la_esperanza,T2,2,Z1,8456
la_esperanza,T2,2,Z2,8574
la_esperanza,T2,3,Z1,8479
la_esperanza,T2,3,Z2,8482
la_esperanza,T3,1,Z1,8573
la_esperanza,T3,1,Z2,8067
la_esperanza,T3,2,Z1,8878
la_esperanza,T3,2,Z2,8842
la_esperanza,T3,3,Z1,8228
la_esperanza,T3,3,Z2,8694
la_esperanza,T4,1,Z1,8786
la_esperanza,T4,1,Z2,8180
la_esperanza,T4,2,Z1,8480
la_esperanza,T4,2,Z2,8882
la_esperanza,T4,3,Z1,8902
la_esperanza,T4,3,Z2,8901
rio_claro,T1,1,Z1,8664
rio_claro,T1,1,Z2,8885
rio_claro,T1,2,Z1,8568
rio_claro,T1,2,Z2,8571
rio_claro,T1,3,Z1,8063
rio_claro,T2,1,Z1,8719
rio_claro,T2,1,Z2,8883
rio_claro,T2,2,Z1,8879
rio_claro,T2,2,Z2,8527
rio_claro,T2,3,Z1,8645
rio_claro,T2,3,Z2,8679
rio_claro,T3,1,Z1,8483
rio_claro,T3,1,Z2,8782
rio_claro,T3,2,Z1,8784
rio_claro,T3,2,Z2,8658
rio_claro,T3,3,Z1,8905
rio_claro,T3,3,Z2,8783
rio_claro,T4,1,Z1,8685
rio_claro,T4,1,Z2,8066
rio_claro,T4,2,Z1,8683
rio_claro,T4,2,Z2,8886
rio_claro,T4,3,Z1,8174
rio_claro,T4,3,Z2,8881
